epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,242.646,2.07997,1.21129,1.27862,0.70882,0.5414,0.58427,0.20738,2.3433,1.27196,1.42688,0.001307,0.001307,0.001307
65,246.307,2.14053,1.22871,1.24972,0.74957,0.51474,0.56849,0.20092,2.34336,1.33127,1.41912,0.001296,0.001296,0.001296
66,250.004,2.16542,1.33873,1.29145,0.65675,0.55414,0.59561,0.21043,2.2899,1.26642,1.39961,0.001285,0.001285,0.001285
67,253.648,2.13874,1.28938,1.28274,0.72599,0.52866,0.61488,0.21051,2.29395,1.26628,1.39766,0.001274,0.001274,0.001274
68,257.342,2.14067,1.26805,1.27244,0.67682,0.57325,0.61975,0.20576,2.40544,1.27387,1.47835,0.001263,0.001263,0.001263
69,261.009,2.18386,1.27056,1.30215,0.75352,0.53503,0.61453,0.22828,2.3171,1.23608,1.45298,0.001252,0.001252,0.001252
70,264.906,2.20559,1.29496,1.29673,0.72161,0.52229,0.58992,0.20466,2.28996,1.31824,1.39387,0.001241,0.001241,0.001241
71,268.592,2.16767,1.29268,1.2786,0.69713,0.52866,0.57399,0.21133,2.28577,1.28886,1.3961,0.00123,0.00123,0.00123
72,272.262,2.17663,1.2804,1.27507,0.69808,0.52866,0.59373,0.21488,2.27485,1.27966,1.39647,0.001219,0.001219,0.001219
73,275.953,2.11758,1.24055,1.2594,0.67728,0.57325,0.61271,0.21278,2.30658,1.31284,1.40386,0.001208,0.001208,0.001208
74,279.615,2.14354,1.2532,1.27188,0.65365,0.58599,0.58622,0.20556,2.32836,1.26032,1.40742,0.001197,0.001197,0.001197
75,283.315,2.12419,1.20686,1.24316,0.58544,0.56051,0.55444,0.18887,2.32032,1.29712,1.38776,0.001186,0.001186,0.001186
76,287.005,2.09084,1.17979,1.2421,0.64744,0.56145,0.59046,0.19983,2.35278,1.2848,1.41809,0.001175,0.001175,0.001175
77,290.64,2.14356,1.24335,1.28153,0.5675,0.59339,0.5643,0.19941,2.29553,1.30305,1.39519,0.001164,0.001164,0.001164
78,294.293,2.13859,1.24894,1.24802,0.6705,0.57962,0.60504,0.21315,2.28778,1.28385,1.40075,0.001153,0.001153,0.001153
79,297.952,2.07572,1.21319,1.23035,0.65229,0.56051,0.55766,0.19906,2.31391,1.27089,1.4072,0.001142,0.001142,0.001142
80,301.63,2.03135,1.16232,1.22642,0.65846,0.55259,0.57288,0.20582,2.34617,1.26572,1.43955,0.001131,0.001131,0.001131
81,305.336,2.06145,1.13901,1.23482,0.635,0.5873,0.59885,0.20998,2.30387,1.28167,1.42387,0.00112,0.00112,0.00112
82,308.993,2.07328,1.1713,1.2071,0.69238,0.58599,0.59533,0.21722,2.3047,1.27402,1.4162,0.001109,0.001109,0.001109
83,312.684,2.07629,1.19791,1.24482,0.71827,0.59236,0.59822,0.20609,2.29783,1.23912,1.38594,0.001098,0.001098,0.001098
84,316.389,1.99868,1.16035,1.20896,0.67415,0.5414,0.58697,0.20137,2.31295,1.2883,1.42485,0.001087,0.001087,0.001087
85,320.043,2.09716,1.20723,1.23106,0.71164,0.57325,0.63217,0.21942,2.30232,1.23665,1.41758,0.001076,0.001076,0.001076
86,323.709,2.04823,1.16566,1.20977,0.62881,0.59873,0.60314,0.21475,2.31637,1.23179,1.40849,0.001065,0.001065,0.001065
87,327.382,2.05306,1.17437,1.23017,0.67048,0.53136,0.6002,0.21298,2.28362,1.2415,1.42722,0.001054,0.001054,0.001054
88,331.046,2.01489,1.16101,1.21369,0.71056,0.58599,0.62388,0.20652,2.33121,1.25521,1.40625,0.001043,0.001043,0.001043
89,334.724,2.06014,1.17178,1.23582,0.68637,0.56688,0.60597,0.19649,2.31327,1.27283,1.40071,0.001032,0.001032,0.001032
90,338.36,2.04515,1.19894,1.21254,0.68735,0.5041,0.55313,0.19134,2.34706,1.30999,1.40985,0.001021,0.001021,0.001021
91,342.038,2.01543,1.14514,1.20863,0.63751,0.59236,0.59421,0.21209,2.30021,1.3021,1.41746,0.00101,0.00101,0.00101
92,345.77,2.03419,1.14671,1.19242,0.62963,0.52866,0.54587,0.19427,2.3251,1.27321,1.43672,0.000999,0.000999,0.000999
93,349.434,2.03323,1.18775,1.22422,0.65976,0.52866,0.56738,0.19538,2.38703,1.32124,1.44368,0.000988,0.000988,0.000988
94,353.102,1.97598,1.1519,1.21012,0.66207,0.51592,0.57185,0.19812,2.36611,1.30536,1.46001,0.000977,0.000977,0.000977
95,356.77,1.99785,1.13002,1.20527,0.61385,0.51592,0.55371,0.18943,2.40555,1.33235,1.49179,0.000966,0.000966,0.000966
96,360.452,2.07544,1.19093,1.22481,0.67625,0.50955,0.55289,0.18082,2.40096,1.31408,1.47213,0.000955,0.000955,0.000955
97,364.138,1.9293,1.07528,1.18148,0.66202,0.51592,0.50957,0.19164,2.417,1.29498,1.46344,0.000944,0.000944,0.000944
98,367.769,1.99594,1.13358,1.19034,0.5902,0.6051,0.58301,0.20266,2.33241,1.2565,1.42712,0.000933,0.000933,0.000933
99,371.462,1.96796,1.11732,1.23203,0.6459,0.58091,0.60607,0.2155,2.31492,1.26338,1.41483,0.000922,0.000922,0.000922
100,375.201,1.95862,1.09808,1.20664,0.67966,0.56051,0.58323,0.21289,2.3824,1.27749,1.44695,0.000911,0.000911,0.000911
101,378.98,1.94301,1.06827,1.18361,0.65928,0.57962,0.59156,0.21533,2.31414,1.24855,1.42221,0.0009,0.0009,0.0009
102,382.641,1.91637,1.09891,1.20602,0.71565,0.56109,0.60209,0.20008,2.33188,1.26827,1.41666,0.000889,0.000889,0.000889
103,386.355,1.93762,1.06882,1.16496,0.677,0.56051,0.56646,0.19522,2.30348,1.26058,1.41088,0.000878,0.000878,0.000878
104,390.025,1.94759,1.05267,1.19546,0.60169,0.55807,0.53712,0.19995,2.32018,1.22527,1.43155,0.000867,0.000867,0.000867
105,393.667,1.95826,1.08701,1.2277,0.70245,0.57325,0.61189,0.22298,2.28263,1.19422,1.40729,0.000856,0.000856,0.000856
106,397.351,2.01957,1.10867,1.2232,0.67301,0.61783,0.62032,0.2158,2.25123,1.20226,1.41478,0.000845,0.000845,0.000845
107,401.006,1.92776,1.08863,1.18867,0.66644,0.58541,0.60409,0.21704,2.27822,1.20608,1.40366,0.000834,0.000834,0.000834
108,404.685,1.91481,1.03384,1.20473,0.65569,0.57011,0.60526,0.22278,2.28827,1.20582,1.4121,0.000823,0.000823,0.000823
109,408.375,1.87909,1.02199,1.16367,0.69227,0.57962,0.61452,0.22075,2.28333,1.1886,1.39824,0.000812,0.000812,0.000812
